"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"27",596146,"Max Kepler","349","7.7","0.963","0.852","0.957","1.815","1.166","0.703","0.586","26","27","96.1","11.1","2231","87.3","86.31","0","27","0","-1.0","5.80","116","155","122","149","293","319","298"
"21",592696,"Eddie Rosario","344","6.1","1.000","0.714","1.000","1.714","1.148","0.617","0.563","21","21","91.8","8.1","2240","89.0","88.19","0","21","0","-0.8","5.89","114","150","122","150","295","316","297"
