"","des","x","y","MLBCODE","pitcher","type","team","inning","date","gameday_link","LASTNAME","FIRSTNAME","PLAYERID","DAVENPORTCODE","RETROSHEETCODE","batter_name","year"
"264","Pop Out",160.61,187.78,592696,488768,"O","A",5,2018-04-05,"gid_2018_03_31_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"265","Pop Out",162.180198598131,182.710280373832,596146,471911,"O","H",4,2019-03-28,"gid_2019_03_31_clemlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"266","Pop Out",162.85,125.8,596146,282332,"O","A",6,2018-04-05,"gid_2018_04_24_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"267","Pop Out",177.45,137.91,592696,467100,"O","A",1,2018-04-05,"gid_2018_04_04_minmlb_pitmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"268","Sac Fly",82.1738749020372,92.9310225881628,596146,573185,"O","H",3,2019-03-28,"gid_2019_04_27_balmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"269","Sac Fly",88.93,77.8,596146,642397,"O","H",1,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"270","Single",74.0026285046729,93.7383177570094,596146,519096,"H","H",6,2019-03-28,"gid_2019_03_31_clemlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"271","Single",85.6,105.02,596146,518617,"H","A",8,2019-03-28,"gid_2019_04_03_minmlb_kcamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"272","Single",89.61,112.82,596146,434378,"H","H",7,2018-04-05,"gid_2018_04_09_houmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"273","Single",96.75,110.4,592696,607219,"H","H",5,2018-04-05,"gid_2018_04_28_cinmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"274","Single",99.3269146089244,105.090219819367,592696,453178,"H","A",9,2019-03-28,"gid_2019_04_02_minmlb_kcamlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"275","Single",100.38,105.99,596146,628452,"H","H",9,2018-04-05,"gid_2018_04_27_cinmlb_minmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"276","Single",107.19,96.12,596146,607192,"H","A",8,2018-04-05,"gid_2018_04_04_minmlb_pitmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"277","Single",108.6,177.89,592696,642397,"H","H",5,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"278","Single",109.12,108.93,592696,642397,"H","H",1,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"279","Single",110.83,170,592696,592332,"H","A",1,2018-04-05,"gid_2018_04_01_minmlb_balmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"280","Single",114.6,110.5,592696,598286,"H","H",6,2019-03-28,"gid_2019_04_12_detmlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2019"
"281","Single",114.896040836653,75.0099588675328,596146,641745,"H","A",1,2019-03-28,"gid_2019_04_02_minmlb_kcamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"282","Single",126.58,75.01,596146,643338,"H","A",7,2018-04-05,"gid_2018_04_25_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"283","Single",127.04,58.57,592696,519240,"H","H",6,2018-04-05,"gid_2018_04_07_seamlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"284","Single",127.19,80.11,592696,532077,"H","H",9,2018-04-05,"gid_2018_04_30_tormlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"285","Single",127.37,100.24,596146,547973,"H","A",9,2018-04-05,"gid_2018_04_25_minmlb_nyamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
"286","Single",128.77,120.85,596146,592789,"H","A",3,2019-03-28,"gid_2019_04_10_minmlb_nynmlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"287","Single",129.21,182.71,592696,592791,"H","A",4,2018-04-05,"gid_2018_04_02_minmlb_pitmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"288","Single",131.11,99.83,592696,592102,"H","H",12,2018-04-05,"gid_2018_04_18_clemlb_minmlb_1","Rosario","Eddie",67098,"ROSARIO19910928A",NA,"Eddie Rosario","2018"
"289","Single",134.706797808765,190.318723807772,596146,657612,"H","A",7,2019-03-28,"gid_2019_04_02_minmlb_kcamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2019"
"290","Single",139.83,140.16,596146,502042,"H","A",5,2018-04-05,"gid_2018_04_20_minmlb_tbamlb_1","Kepler","Max",68091,"KEPLER-RO19930210A",NA,"Max Kepler","2018"
