"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"26",596146,"Max Kepler","359","7.2","1.000","1.040","0.947","2.040","1.227","0.791","0.641","25","25","99.9","13.7","2147","90.5","90.03","0","26","0","-0.5","6.05","115","150","126","144","298","324","300"
"26",592696,"Eddie Rosario","422","6.2","0.962","1.462","0.933","2.423","1.404","0.897","0.610","25","26","96.8","21.0","2206","88.2","87.64","0","26","0","-0.6","5.93","112","143","114","145","297","323","300"
